init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,224,210,172,161,160,161,158,170,185,194,202,210,216,226,225,14,6,12,9,12,13,11,14,21,29,31,33,36,36,41,229,213,179,173,159,152,166,166,172,220,,,,,
2026-07-14,192,182,209,215,191,164,161,165,172,177,188,202,207,213,218,12,13,11,14,11,13,13,15,19,27,34,34,35,32,33,186,182,210,211,178,145,158,142,151,157,,,,,
2026-07-15,195,223,216,187,164,158,159,161,161,174,192,202,203,204,210,8,9,14,11,12,11,12,13,16,21,29,30,33,36,37,197,224,209,187,159,144,159,156,148,161,,,,,
2026-07-16,224,221,197,169,158,162,162,162,170,191,205,206,212,213,217,5,14,10,14,11,12,13,13,16,26,30,33,33,29,36,224,221,192,163,166,153,159,163,164,196,,,,,
