init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,210,176,147,132,121,128,135,140,143,147,151,139,124,125,137,9,9,8,11,13,17,16,17,19,27,29,33,29,32,36,209,171,147,144,122,113,126,122,126,150,,,,,
2026-07-14,125,154,185,196,169,151,132,114,113,117,110,101,108,118,123,3,7,9,14,13,13,15,21,24,24,25,27,35,39,40,126,154,186,188,162,149,130,110,123,131,,,,,
2026-07-15,157,191,202,171,150,141,131,137,131,123,120,115,117,124,132,6,7,13,11,15,11,15,19,17,26,26,24,30,34,42,160,189,196,169,156,143,125,142,135,122,,,,,
2026-07-16,198,211,173,149,137,128,132,132,134,130,134,140,142,137,133,6,10,9,13,13,14,18,16,20,23,29,32,29,31,36,198,210,170,149,137,127,127,131,136,159,,,,,
2026-07-18,183,142,124,125,125,123,135,142,155,168,154,146,153,164,164,9,7,8,10,12,11,13,15,22,34,35,37,42,41,36,187,143,115,127,130,113,123,143,178,198,,,,,
2026-07-19,145,124,126,125,126,138,140,159,186,179,147,136,143,149,148,6,6,7,8,9,11,12,17,23,27,26,34,40,40,39,148,124,128,127,124,139,152,184,217,186,,,,,
2026-07-20,128,127,126,124,135,134,152,182,181,151,143,147,146,145,145,5,6,7,7,8,10,16,18,22,25,36,43,40,38,38,129,128,127,121,141,143,167,188,195,168,,,,,
2026-07-21,124,125,126,137,134,146,171,173,154,144,152,150,149,146,144,5,6,9,9,11,15,18,22,23,26,40,40,36,38,39,123,129,134,144,134,137,170,180,178,196,,,,,
