init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,286,277,280,278,279,278,276,276,274,271,270,272,274,272,274,5,7,4,9,9,10,13,13,15,15,16,15,14,15,16,285,277,279,280,283,264,259,254,257,252,,,,,
2026-07-14,280,270,271,268,267,272,269,262,256,261,262,262,264,261,264,5,7,9,13,11,9,12,14,14,14,14,15,15,15,15,282,271,275,266,272,280,275,257,239,245,,,,,
2026-07-15,275,273,272,267,275,274,269,264,268,269,268,266,267,267,268,5,6,10,9,10,10,13,16,14,14,15,14,15,15,15,277,272,272,271,278,281,279,270,256,258,,,,,
2026-07-16,277,282,277,278,275,273,274,273,271,271,266,267,267,267,269,5,7,9,7,9,11,13,13,14,15,17,17,17,17,16,279,286,280,281,274,270,282,276,275,261,,,,,
2026-07-18,284,279,284,285,288,287,281,277,272,270,270,270,275,278,277,4,4,7,8,8,7,12,16,17,17,17,16,14,15,17,284,274,282,280,289,288,278,274,277,245,,,,,
2026-07-19,285,285,288,291,288,287,279,272,272,271,275,281,281,282,284,4,8,7,6,8,9,14,16,16,18,17,15,16,16,15,284,288,290,294,291,289,292,283,283,263,,,,,
