init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,275,277,251,266,265,223,219,231,241,248,253,254,255,255,258,7,8,8,19,21,19,17,21,23,24,33,35,35,32,31,280,271,248,253,260,203,197,215,235,255,,,,,
2026-07-14,271,284,289,286,290,282,275,255,234,227,227,237,242,241,243,5,6,8,16,13,24,22,20,21,22,24,24,27,32,28,271,281,290,296,293,284,292,256,217,220,,,,,
2026-07-15,278,287,281,285,261,265,262,232,221,231,246,254,255,249,239,5,7,14,12,15,20,25,26,19,23,25,33,34,32,30,278,288,279,280,263,274,272,228,183,210,,,,,
2026-07-16,278,277,279,258,267,269,231,222,230,244,253,256,247,241,245,6,9,10,10,18,18,22,19,24,27,28,28,30,34,33,275,278,268,257,269,286,218,215,195,236,,,,,
2026-07-18,273,249,258,264,228,223,237,249,263,267,259,253,255,257,258,8,7,12,16,15,18,22,20,30,34,34,30,29,31,29,271,247,257,268,224,227,256,269,272,283,,,,,
