init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,289,295,271,259,276,281,253,248,251,255,256,253,258,261,261,5,9,10,10,12,18,16,14,15,17,17,19,20,22,22,289,295,265,256,274,280,252,246,245,243,,,,,
2026-07-14,254,293,308,300,291,284,278,283,276,263,255,255,258,260,259,5,5,7,10,17,18,21,25,22,21,20,18,22,24,24,256,296,312,301,297,284,274,301,278,243,,,,,
2026-07-15,292,306,293,291,281,262,269,275,256,249,254,263,264,268,265,4,5,6,10,16,15,17,21,17,15,16,21,21,24,28,294,307,294,291,287,267,261,276,245,245,,,,,
2026-07-16,298,290,292,274,258,270,275,255,248,251,257,261,262,258,256,4,5,11,12,11,14,18,17,14,16,19,21,21,23,25,300,291,294,278,267,274,281,247,249,256,,,,,
2026-07-18,291,277,255,267,267,243,238,242,247,255,260,258,253,252,251,8,8,9,12,13,15,14,16,18,19,24,23,21,22,20,289,275,265,268,255,224,227,235,254,264,,,,,
2026-07-19,265,249,266,269,240,233,236,245,258,263,261,255,252,254,258,7,7,12,12,11,10,13,13,18,22,24,22,20,22,22,267,252,263,255,232,226,233,244,237,251,,,,,
2026-07-20,256,269,265,235,225,228,232,258,261,249,244,249,253,257,261,5,11,11,10,8,10,14,15,18,18,18,20,20,20,20,255,268,259,238,233,238,229,275,266,242,,,,,
2026-07-21,271,261,232,225,228,232,249,250,245,246,249,249,247,252,255,10,9,8,7,10,16,17,19,17,17,17,17,16,19,20,261,263,232,224,228,223,229,262,262,255,,,,,
2026-07-22,263,233,227,223,220,233,253,256,254,254,255,251,251,255,258,9,8,5,8,10,14,17,15,16,15,15,15,16,17,18,270,234,229,220,219,256,271,256,259,261,,,,,
2026-07-23,239,230,230,230,247,268,264,253,257,260,261,261,265,271,272,4,5,7,11,15,16,14,16,17,17,17,17,17,20,20,243,230,228,226,240,283,264,244,240,242,,,,,
