init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,282,291,272,264,279,282,261,257,259,262,263,262,265,268,268,5,7,8,8,9,11,13,12,12,13,14,16,17,17,18,281,292,267,261,278,283,259,257,256,255,,,,,
2026-07-14,253,279,289,289,288,281,276,282,277,268,262,262,264,265,265,4,3,6,9,11,13,15,17,16,17,16,14,17,18,19,254,279,290,293,287,278,282,297,282,252,,,,,
2026-07-15,279,288,287,291,279,265,274,279,264,257,260,267,270,272,270,3,5,6,6,11,12,14,15,15,13,14,18,17,18,21,278,288,287,292,282,257,269,275,250,257,,,,,
2026-07-16,280,285,289,274,263,274,278,263,257,259,264,267,268,265,263,3,5,8,9,10,11,13,15,12,14,16,17,17,18,19,279,286,291,271,261,279,282,257,256,260,,,,,
2026-07-18,286,275,259,273,274,253,249,252,257,262,267,264,260,259,259,5,7,8,9,9,12,12,13,15,15,19,18,17,18,16,284,275,260,277,267,238,237,247,260,268,,,,,
2026-07-19,268,255,273,277,250,244,247,255,264,268,266,262,259,261,264,6,5,9,9,10,8,10,10,14,17,19,18,17,18,17,268,254,272,269,246,235,243,256,249,256,,,,,
2026-07-20,259,275,275,246,236,238,245,265,266,256,254,257,260,263,267,4,7,9,9,6,9,10,12,15,15,15,16,16,16,14,256,270,272,248,242,244,244,276,268,251,,,,,
2026-07-21,278,272,243,235,238,243,258,258,254,257,257,257,257,260,262,6,7,8,6,9,13,13,15,14,14,14,13,14,16,15,273,266,244,235,235,234,247,269,267,259,,,,,
2026-07-22,272,243,237,234,233,246,262,262,261,262,264,260,259,262,265,7,7,4,6,9,12,12,13,13,12,12,12,13,14,15,272,241,237,232,230,262,272,258,266,265,,,,,
2026-07-23,248,239,237,239,253,270,266,259,261,264,264,265,268,272,273,5,4,6,10,11,11,10,13,13,12,13,13,12,15,15,248,239,236,232,252,277,273,253,250,252,,,,,
2026-07-24,236,235,236,258,270,264,263,263,265,263,264,266,268,271,269,3,6,6,9,10,8,10,11,12,11,11,11,12,12,12,235,238,235,262,274,265,264,265,271,282,,,,,
