init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,251,249,227,224,246,214,196,205,219,227,228,232,233,239,239,9,8,7,10,17,20,14,15,20,22,27,33,31,28,25,251,246,227,225,231,206,189,191,205,223,,,,,
2026-07-14,250,276,286,270,263,258,252,244,219,211,213,220,230,232,230,5,7,8,19,15,23,26,23,26,20,22,24,29,29,28,247,274,287,271,261,254,250,245,182,181,,,,,
2026-07-15,273,283,269,264,244,234,246,224,209,215,232,241,243,240,234,6,8,15,15,17,18,23,25,22,18,23,28,34,34,32,273,282,269,264,243,240,262,224,189,223,,,,,
2026-07-16,277,259,253,239,236,250,222,206,213,228,240,242,235,227,228,5,11,11,9,11,19,25,19,20,23,25,27,26,28,27,276,260,254,244,243,238,211,194,209,233,,,,,
2026-07-18,250,223,220,240,209,193,205,224,238,243,236,231,232,235,238,8,6,8,15,15,13,14,17,25,29,32,30,29,25,27,253,224,219,245,199,190,206,229,256,272,,,,,
2026-07-19,222,217,245,207,191,202,224,243,251,246,239,236,238,242,243,5,7,15,13,10,11,12,20,29,31,30,27,28,27,27,222,214,242,200,187,210,231,240,259,263,,,,,
2026-07-20,216,240,202,183,194,217,242,247,225,212,218,230,240,244,249,5,11,10,9,9,14,15,25,31,31,31,29,28,24,26,217,237,204,183,197,238,248,262,183,171,,,,,
2026-07-21,236,184,180,190,218,239,244,230,226,228,228,223,224,229,233,5,6,6,8,11,14,23,30,29,26,23,25,27,29,30,236,185,181,183,218,228,265,280,228,212,,,,,
2026-07-22,185,181,192,211,242,257,253,236,231,232,223,216,223,235,244,6,6,7,11,14,19,22,24,22,23,22,23,27,28,30,185,180,193,215,241,262,251,229,222,233,,,,,
2026-07-23,184,193,210,243,259,258,235,230,234,234,227,234,246,255,249,5,8,10,12,16,20,23,25,25,21,23,25,29,30,31,182,188,208,253,272,283,242,212,224,254,,,,,
2026-07-24,194,211,241,263,260,238,238,243,237,229,231,242,251,248,242,7,7,8,13,16,17,21,24,20,22,24,25,25,31,37,191,209,242,273,269,231,239,265,250,231,,,,,
2026-07-25,207,241,251,242,208,204,219,232,236,239,252,255,247,241,238,7,9,16,12,13,14,17,17,16,20,20,23,27,30,28,206,245,254,238,198,197,217,233,241,236,,,,,
2026-07-26,227,242,238,216,211,221,227,227,232,238,248,246,238,240,243,8,12,10,10,13,15,16,15,19,21,20,23,26,30,33,227,239,246,217,213,219,236,239,245,251,,,,,
2026-07-27,244,239,213,212,223,228,229,234,239,247,247,242,239,241,240,8,10,8,9,13,15,17,17,20,21,21,28,30,35,34,244,246,216,215,236,237,229,239,255,265,,,,,
2026-07-28,232,209,209,224,227,226,228,235,243,247,249,247,242,240,241,6,5,6,11,13,13,15,16,15,19,25,30,34,32,33,234,209,210,223,220,229,234,236,230,240,,,,,
2026-07-29,212,212,230,226,224,230,233,237,242,244,249,247,237,229,231,5,5,8,12,12,12,16,14,15,19,23,24,23,27,30,211,212,231,212,216,226,230,242,245,241,,,,,
2026-07-30,219,239,224,223,219,221,231,240,246,252,242,232,230,231,233,6,7,11,12,15,18,16,18,24,26,26,24,26,30,30,219,240,223,228,213,214,236,249,264,260,,,,,
2026-07-31,235,226,224,218,221,226,232,228,234,240,242,230,224,224,228,5,10,9,14,15,12,13,20,23,24,24,23,28,31,33,235,227,224,208,221,224,227,214,235,266,,,,,
2026-08-01,222,222,214,217,228,230,231,239,242,236,235,234,230,224,221,7,8,12,15,12,14,18,20,22,24,24,24,27,33,31,222,221,216,218,230,232,244,246,245,228,,,,,
2026-08-02,217,207,204,217,228,231,233,241,249,242,242,238,231,225,224,6,7,8,11,13,14,14,17,24,28,27,30,30,29,29,218,207,199,210,220,226,225,242,259,258,,,,,
2026-08-03,205,202,223,234,231,231,241,254,257,251,240,233,229,223,223,4,5,8,13,11,11,10,15,21,24,27,28,30,30,33,205,201,220,230,231,230,245,256,274,270,,,,,
