init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,140,110,91,109,132,121,122,132,140,149,155,160,157,153,154,7,7,6,9,11,18,21,22,21,20,25,27,31,31,33,140,110,91,100,137,130,130,133,133,162,,,,,
2026-07-14,135,127,170,136,113,89,90,101,107,110,118,126,132,135,142,7,8,9,12,13,13,17,22,24,27,31,32,30,30,29,136,123,173,133,119,89,96,109,112,120,,,,,
2026-07-15,131,171,132,106,92,95,113,120,117,125,131,129,132,136,138,5,6,7,10,9,13,21,24,26,30,34,36,39,38,31,133,173,127,103,93,96,112,127,129,104,,,,,
2026-07-16,172,141,106,93,98,118,123,124,131,140,149,151,155,155,152,5,8,7,7,10,17,22,28,27,26,25,27,31,30,31,173,143,104,91,93,121,111,95,94,117,,,,,
2026-07-18,112,93,109,131,115,107,114,132,148,160,166,165,162,159,159,5,7,9,9,15,20,21,17,16,18,23,28,30,32,30,112,91,112,133,112,128,133,125,132,145,,,,,
2026-07-19,96,111,129,109,107,122,135,148,157,169,164,160,160,153,155,6,7,8,10,17,17,16,16,18,18,26,29,28,28,30,96,111,127,110,122,119,149,161,161,173,,,,,
2026-07-20,113,131,110,103,124,138,153,160,166,159,149,146,146,148,150,6,7,10,13,16,16,16,17,21,25,25,24,23,24,27,115,132,107,107,129,148,166,143,175,170,,,,,
2026-07-21,122,104,105,113,126,138,151,165,150,134,131,130,130,129,126,6,7,9,14,13,13,14,21,26,26,24,21,24,29,29,123,97,103,105,122,141,145,180,181,186,,,,,
2026-07-22,103,105,104,124,134,150,158,144,142,142,134,129,129,129,127,6,8,13,12,11,14,20,23,25,28,29,30,30,26,26,106,105,102,130,138,154,175,152,167,178,,,,,
