init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,235,247,266,252,249,250,251,248,236,222,218,223,231,234,235,5,9,8,10,11,15,17,18,24,21,28,28,35,39,37,234,244,266,250,238,239,256,245,232,207,,,,,
2026-07-14,269,249,242,230,244,265,270,278,281,267,252,237,229,228,230,7,11,11,8,12,17,22,24,29,34,31,29,26,27,28,265,242,232,227,244,266,261,276,270,285,,,,,
2026-07-15,244,236,229,239,254,249,252,258,257,245,229,220,222,222,229,7,11,6,8,11,14,18,23,26,26,25,23,29,29,33,241,233,231,243,260,250,243,235,242,242,,,,,
2026-07-16,241,233,240,260,251,254,259,264,258,236,223,223,222,227,226,8,6,9,10,13,16,18,20,22,24,22,22,30,35,34,241,236,240,263,246,243,253,268,279,232,,,,,
2026-07-18,241,262,253,252,257,257,250,231,218,219,220,226,229,232,237,6,7,9,12,13,14,15,21,21,24,22,30,34,33,38,241,263,255,255,263,267,263,221,210,200,,,,,
2026-07-19,264,253,255,265,270,262,229,214,211,211,218,225,231,234,233,6,7,8,8,10,17,21,18,17,20,29,29,36,36,36,266,256,258,263,270,275,256,221,197,194,,,,,
2026-07-20,253,249,261,269,264,225,210,217,221,224,235,245,242,236,237,5,6,7,9,15,20,16,21,25,27,31,31,31,29,31,255,250,262,270,272,226,204,208,209,212,,,,,
2026-07-21,248,261,269,271,229,209,216,233,236,230,234,232,236,240,241,4,5,6,11,14,12,15,25,30,31,35,32,33,31,37,250,262,269,278,235,199,212,251,256,267,,,,,
